date,x1,x2,y1,y2,y3,y4,filtered_hole
2018-03-01,2,4,,,,,173
2018-04-14,1,4,,,,56.8,152
2018-06-01,1,4,,,,62.5,157
2018-06-18,1,4,,,,55.9,157
2018-06-01,1,4,,,,,157
2018-06-01,1,4,,,,54.1,175
2018-06-15,1,4,,,,54.2,175
2018-07-09,1,4,,,,64.6,157
2018-07-01,1,4,,,,53.3,157
2018-05-02,1,4,,,,,164
2018-05-10,1,4,,,,51.0,164
2018-07-23,1,4,,,,48.1,157
2018-07-30,1,4,,,,69.4,164
2018-05-02,1,4,,,,,175
2018-05-03,1,4,,,,48.0,175
2018-07-25,1,4,,,,53.7,175
2018-02-01,4,4,,,,,157
2018-02-27,4,4,,,,60.0,157
2018-02-09,4,4,,,,44.0,157
2018-02-01,4,4,,,,,164
2018-02-16,4,4,,,,51.0,164
2018-02-01,4,4,,,,,175
2018-02-27,4,4,,,,48.2,175
2018-01-01,5,1,34.1,38.2,30.2,38.0,158
2018-01-02,5,1,34.0,38.2,28.9,38.0,158
2018-01-03,5,1,34.0,38.2,29.9,38.0,158
2018-01-04,5,1,34.1,38.2,29.9,38.0,158
2018-01-10,5,1,34.0,38.2,29.5,38.0,158
2018-01-12,5,1,34.0,38.2,29.1,38.0,158
2018-01-13,5,1,33.9,38.2,29.5,38.0,158
2018-01-14,5,1,34.1,38.2,29.5,38.0,158
2018-01-17,5,1,34.1,38.2,29.1,38.0,158
2018-01-18,5,1,34.2,38.2,29.5,38.0,158
2018-01-20,5,1,33.8,38.2,29.5,38.0,158
2018-01-22,5,1,33.6,38.2,29.5,38.0,158
2018-01-25,5,1,33.5,38.2,29.5,38.0,158
2018-01-27,5,1,33.7,38.2,29.1,38.0,158
2018-01-30,5,1,34.2,38.2,29.1,38.0,158
2018-01-01,5,2,150.9,,121.7,40.0,160
2018-01-02,5,2,154.0,,109.8,40.0,160
2018-01-03,5,2,156.0,,121.7,40.0,160
2018-01-04,5,2,158.9,,121.7,40.0,160
2018-01-05,5,2,161.0,,121.7,40.0,160
2018-01-06,5,2,164.0,,121.7,40.0,160
2018-01-07,5,2,166.0,,110.0,40.0,160
2018-01-08,5,2,169.0,,110.0,40.0,160
2018-01-09,5,2,171.0,,110.0,40.0,160
2018-01-10,5,2,173.3,,121.7,40.0,160
2018-01-11,5,2,176.0,,121.7,40.0,160
2018-01-12,5,2,178.0,,121.7,40.0,160
2018-01-13,5,2,179.7,,121.7,40.0,160
2018-01-14,5,2,181.8,,121.7,40.0,160
2018-01-15,5,2,183.7,,121.7,40.0,160
2018-01-16,5,2,186.0,,121.7,40.0,160
2018-01-17,5,2,187.6,,110.0,40.0,160
2018-01-18,5,2,189.5,25.6,19.9,27.0,160
2018-01-19,5,2,191.0,25.6,19.9,27.0,160
2018-01-20,5,2,193.1,25.6,19.9,27.0,160
2018-01-21,5,2,194.8,25.6,19.9,27.0,160
2018-01-22,5,2,196.6,25.6,19.9,27.0,160
2018-01-23,5,2,198.4,25.6,19.5,27.0,160
2018-01-24,5,2,200.0,25.6,19.5,27.0,160
2018-01-25,5,2,201.6,25.6,19.5,27.0,160
2018-01-26,5,2,203.4,,19.5,27.0,160
2018-01-27,5,2,204.8,,19.5,27.0,160
2018-01-28,5,2,206.0,,19.5,27.0,160
2018-01-29,5,2,207.8,,19.5,27.0,160
2018-01-30,5,2,209.3,,19.5,27.0,160
2018-01-31,5,2,211.0,27.7,18.2,29.0,160
2018-01-01,5,1,32.8,51.1,43.0,,161
2018-01-02,5,1,34.0,51.1,44.1,,161
2018-01-03,5,1,33.0,51.1,43.0,,161
2018-01-07,5,1,33.0,51.1,43.3,,161
2018-01-10,5,1,33.1,51.1,44.0,,161
2018-01-11,5,1,33.0,51.1,44.0,,161
2018-01-13,5,1,32.9,51.1,43.7,,161
2018-01-14,5,1,32.8,51.1,43.7,,161
2018-01-16,5,1,33.0,51.1,43.7,,161
2018-01-17,5,1,33.0,51.1,43.4,,161
2018-01-18,5,1,32.7,51.1,42.8,,161
2018-01-19,5,1,32.8,51.1,42.8,,161
2018-01-21,5,1,33.2,51.1,43.1,,161
2018-01-22,5,1,32.9,51.1,43.1,,161
2018-01-23,5,1,33.0,51.1,42.8,,161
2018-01-25,5,1,32.9,51.1,42.8,,161
2018-01-27,5,1,32.7,51.1,43.0,,161
2018-01-29,5,1,33.0,50.9,50.9,,161
2018-01-30,5,1,32.5,50.9,50.9,,161
2018-01-01,5,2,12.0,,34.4,41.0,170
2018-01-03,5,2,12.0,,35.6,41.0,170
2018-01-10,5,2,12.0,,35.5,41.0,170
2018-01-12,5,2,12.0,,34.3,41.0,170
2018-01-17,5,2,12.0,45.6,36.4,46.0,170
2018-01-18,5,2,12.0,45.6,37.6,46.0,170
2018-01-21,5,2,12.0,45.6,35.2,46.0,170
2018-01-25,5,2,12.0,,35.2,46.0,170
2018-01-26,5,2,12.0,,36.3,46.0,170
2018-01-27,5,2,12.0,,35.1,46.0,170
2018-01-01,5,1,0.0,48.0,44.8,45.0,176
2018-01-02,5,1,0.0,48.0,45.1,45.0,176
2018-01-03,5,1,0.0,48.0,44.9,45.0,176
2018-01-07,5,1,0.0,48.0,45.0,45.0,176
2018-01-09,5,1,0.0,48.0,44.7,45.0,176
2018-01-10,5,1,0.0,48.0,44.6,45.0,176
2018-01-21,5,1,0.0,48.0,44.5,45.0,176
2018-01-27,5,1,0.0,47.0,43.9,45.0,176
2018-01-29,5,1,0.0,47.0,44.2,45.0,176
2018-01-01,5,2,,,87.0,74.0,177
2018-01-02,5,2,,,85.7,74.0,177
2018-01-12,5,2,,,86.9,74.0,177
2018-01-13,5,2,,,85.6,74.0,177
2018-01-17,5,2,,69.1,52.2,69.0,177
2018-01-18,5,2,,69.1,51.1,69.0,177
2018-01-25,5,2,,,51.1,69.0,177
2018-01-26,5,2,,,52.2,69.0,177
2018-01-01,5,3,,,45.7,53.0,187
2018-01-02,5,3,,,44.6,53.0,187
2018-01-03,5,3,0.0,,45.6,53.0,187
2018-01-11,5,3,0.0,,45.5,53.0,187
2018-01-12,5,3,0.0,,43.4,53.0,187
2018-01-13,5,3,0.0,,44.5,53.0,187
2018-01-18,5,3,0.0,,44.6,53.0,187
2018-01-26,5,3,0.0,,39.8,53.0,187
2018-01-27,5,3,0.0,,40.9,53.0,187
2018-01-01,5,3,27.0,71.5,66.1,43.0,188
2018-01-02,5,3,28.0,71.5,65.8,43.0,188
2018-01-04,5,3,27.7,71.5,65.8,43.0,188
2018-01-10,5,3,27.7,71.5,66.1,43.0,188
